KRELN WELSH-POLYNESIAN - 500 Common Word Translations
Fantasy Language based on KrelnWelsh-Polynesian name patterns
Linguistic roots: Old Welsh / Middle Welsh (9th-14th c.) primary
with Samoan (primary Polynesian) and Māori (secondary) flavoring
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Old/Middle Welsh):
  y/yr (the), a/ac (and), nid/ni (not), yn (in/at), o (from/of),
  â/gyda (with), ond (but), os (if), am (about/for), ar (on/upon),
  bod (to be), cael (to have/get), gwneud (to do/make), dweud (to say),
  gweld (to see), mynd (to go), dod (to come), gwybod (to know),
  dyn (man), gwraig (woman), mab (son/boy), merch (girl), pobl (people),
  brenin (king), daear (earth), tân (fire), dŵr (water), awyr (sky),
  dydd (day), mawr (great/big), da (good), gwir (true), llawn (full),
  Old Welsh: map (son), hen (old), du (black), gwyn (white), coch (red),
  llong (ship), caer (fort), môr (sea), nef (heaven), llys (court)

KEY SOURCE WORDS (Samoan):
  le (the), se (a), ma (and), ae (but), i (at/in/to), mai (from),
  o (of/from), fa'a- (like/manner of), tele (big/many), lelei (good),
  maua (have/get), fai (do/say), va'ai (see), alu (go), sau (come),
  iloa (know), alofa (love), tagata (person), ali'i (chief/king),
  vai (water), afi (fire), eleele (earth), lagi (sky), ao (cloud/day)

KEY SOURCE WORDS (Māori):
  te (the), he (a), me (and/with), engari (but), i (at/past marker),
  nō (from/of), kia (to/for), mō (for/about), whakamāui (to turn),
  tangata (person), rangi (sky), whenua (land), awa (river), maunga (mountain),
  wai (water), ahi (fire), ao (cloud/world), rā (sun), marama (moon),
  nui (big), pai (good), tika (correct/straight), māku (wet), māero (wild)

PHONETIC BRIDGE STRATEGY:
  Welsh: ll (voiceless lateral), dd (voiced dental), rh (voiceless r),
         ch (velar fricative), f/ff distinction, mutation system
  Samoan: open CV syllables, glottal stop ('), long vowels, fa'a- prefix
  Māori: wh (f-sound), ng (velar nasal), macron vowels (ā/ē/ī/ō/ū)
  Bridge: Welsh consonant stems + Polynesian vowel-final endings
  Both share: open a/e/i/o vowels, nasal n/m, liquid l/r
  Fantasy suffix system: -ael (noun, fr. Welsh -ael), -anu (verb, fr. Samoan -anu),
  -lwi (adjective, fr. Welsh -lwi), -ora (place/abstract, fr. Polynesian -ora),
  -ddu (dark/intense marker, fr. Welsh du), -mai (motion/from, fr. Samoan mai)

===================================================================================
RANK | ENGLISH       | KRELN                   | ROOT / NOTES
23   | by            | ganael                  | Welsh gan (by/with) + -ael
24   | from          | maiora                  | Samoan mai (from) + Welsh -ora
30   | or            | neuael                  | Welsh neu (or) + -ael
32   | will          | fyddanu                 | Welsh bydd (will be) + -anu
33   | my            | fyolwi                  | Welsh fy (my) + -olwi
36   | would         | baiddanu                | Welsh byddai (would be) + -anu
40   | so            | fellyael                | Welsh felly (so/thus) + -ael
41   | up            | ianolwi                 | Welsh i fyny (up) stylized + -lwi
42   | out           | allanael                | Welsh allan (out/outside) + -ael
43   | if            | osael                   | Welsh os (if) + -ael
44   | about         | amdanael                | Welsh am (about) + -dael
60   | because       | oherwylddu              | Welsh oherwydd (because) + -ddu
61   | into          | mewnael                 | Welsh mewn (into/in) + -ael
71   | only          | dimonddu                | Welsh dim ond (only/nothing but) + -ddu
76   | its           | eidolwi                 | same as his/her
77   | over          | drosolwi                | Welsh dros (over/across) + -lwi
79   | also          | hefydael                | Welsh hefyd (also/too) + -ael
80   | back          | nôlael                  | Welsh nôl (back/fetch) + -ael
81   | after         | wedynael                | Welsh wedyn (after/then) + -ael
82   | use           | defnyddanu              | Welsh defnyddio (to use) + -anu
87   | first         | cyntafael               | Welsh cyntaf (first) + -ael
88   | well          | dawelwi                 | Welsh da (well/good) + -elwi
90   | even          | hynddulwi               | Welsh hyd yn oed (even) stylized
94   | any           | unrhywael               | Welsh unrhyw (any) + -ael
102  | need          | angenael                | Welsh angen (need) + -ael
104  | often         | ynailwi                 | Welsh yn aml (often) + -lwi
106  | high          | uchelael                | Welsh uchel (high) + -ael
110  | never         | bythddael               | Welsh byth (never/ever) + dd + -ael
112  | north         | gogleddael              | Welsh gogledd (north) + -ael
114  | seem          | ymddangosddu            | same as seem
116  | next          | nesafael                | Welsh nesaf (next/nearest) + -ael
119  | begin         | dechraunu               | Welsh dechrau (to begin) + -nu
129  | both          | ddaulwi                 | Welsh dau (both/two) + dd-mut + -lwi
133  | until         | tanael                  | Welsh tan (until/under) + -ael
147  | ever          | bythael                 | Welsh byth (ever/never) + -ael
150  | though        | erddulwi                | Welsh er (though/for) + dd + -lwi
154  | soon          | toclwi                  | Welsh toc (soon) + -lwi
158  | direct        | unionolwi               | Welsh union (direct/straight) + -lwi
160  | leave         | gaduanu                 | Welsh gadael (to leave) + -anu
169  | wind          | gwyntael                | Welsh gwynt (wind) + -ael
172  | since         | erslwi                  | Welsh ers (since) + -lwi
183  | against       | erbynael                | Welsh erbyn (against/by) + -ael
192  | during        | ystodael                | Welsh ystod (during/course) + -ael
194  | true          | gwirael                 | Welsh gwir (true) + -ael
219  | toward        | tugiatael               | Welsh tuag at (toward) + -ael
225  | center        | canoloddael             | Welsh canol (center) + -odd + -ael
251  | still         | ohydael                 | Welsh o hyd (still/always) + -ael
261  | above         | uchoddlwi               | Welsh uchod (above) + dd + -lwi
287  | behind        | tuólael                 | Welsh tu ôl (behind) + -ael
330  | yes           | ielwi                   | Welsh ie (yes) + -lwi
332  | fill          | llenwanu                | Welsh llenwi (to fill) + -anu
338  | yet           | etolwi                  | Welsh eto (yet/still) + -lwi
339  | among         | ymlithael               | Welsh ymhlith (among) + -ael
340  | perhaps       | efallaelu               | Welsh efallai (perhaps) + -lu
343  | am            | wyflwi                  | Welsh wyf (I am) + -lwi
446  | whether       | aosael                  | Welsh a oes (whether) + -ael
451  | shall         | rhaidanu                | Welsh rhaid (shall/must) + -anu
457  | either        | naill ai                | Welsh naill ai (either) — attested
488  | else          | arallael                | Welsh arall (else/other) + -ael
489  | quite         | eithafael               | Welsh eithaf (quite/extreme) + -ael
490  | quite         | eithafael               | same

--- VERBS: CORE ACTIONS ---
7    | do            | gwneuthanu              | Welsh gwneud (to do) + -anu
9    | have          | caelanu                 | Welsh cael (to have/get) + -anu
15   | he            | efael                   | Welsh ef (he) + -ael
16   | as            | felorael                | Welsh fel (as/like) + -orael
17   | you           | tithael                 | Welsh tithau (you/thou) + -ael
18   | do            | gwneuthanu              | same
25   | they          | hwyntael                | Welsh hwynt (they) + -ael
26   | we            | ninael                  | Welsh ni (we) + -nael
27   | say           | dweudanu                | Welsh dweud (to say) + -anu
46   | get           | caelanu                 | Welsh cael (to get) + -anu
47   | which         | paolwi                  | Welsh pa (which) + -olwi
48   | go            | mundanu                 | Welsh mynd (to go) + -anu
51   | make          | gweuthfanu              | Welsh gwneud (to make) stylized
52   | can           | gallanu                 | Welsh gallu (can/ability) + -anu
53   | like          | hoffianu                | Welsh hoffi (to like) + -anu
54   | time          | amserael                | Welsh amser (time) + -ael
56   | just          | dimondael               | Welsh dim ond (just/only) + -ael
57   | him           | efael                   | Welsh ef (him) + -ael
58   | know          | gwybodanu               | Welsh gwybod (to know) + -anu
59   | take          | cymrydanu               | Welsh cymryd (to take) + -anu
62   | year          | blwyddael               | Welsh blwyddyn (year) + -ael
66   | could         | gallaidddu              | Welsh gallai (could) + dd + -u
67   | them          | hwyntlwi                | Welsh hwynt (them) + -lwi
68   | see           | gweldanu                | Welsh gweld (to see) + -anu
73   | look          | edrychanu               | Welsh edrych (to look) + -anu
74   | only          | dimondael               | same as just/only
75   | come          | dyfodanu                | Welsh dod (to come) + -anu
84   | use           | deffanu                 | Welsh defnyddio (to use) stylized
86   | work          | gwaithddu               | Welsh gwaith (work) + -ddu
89   | way           | ffyrddael               | Welsh ffordd (way/road) + -ael
91   | new           | newyddael               | Welsh newydd (new) + -ael
92   | want          | eisiaunu                | Welsh eisiau (to want) + -nu
93   | because       | oherwylddu              | same as because
96   | give          | rhoddianu               | Welsh rhoi/rhoddi (to give) + -anu
97   | day           | dyddael                 | Welsh dydd (day) + -ael
98   | most          | fwyafael                | Welsh mwyaf (most) + f-mut + -ael
100  | great         | mawrael                 | Welsh mawr (great) + -ael
101  | between       | rhwngael                | Welsh rhwng (between) + -ael
103  | large         | mawrolwi                | Welsh mawr (large) + -olwi
105  | hand          | llaword                 | Welsh llaw (hand) + -ord
107  | place         | lleoedd                 | Welsh lle (place) — attested form
108  | hold          | dallanu                 | Welsh dal (to hold) + -anu
109  | turn          | troianu                 | Welsh troi (to turn) + -anu
111  | few           | ychydigael              | Welsh ychydig (few/little) + -ael
113  | open          | agoranu                 | Welsh agor (to open) + -anu
115  | together      | gydalwi                 | Welsh gyda'i gilydd (together) stylized
117  | white         | gwynael                 | Welsh gwyn (white) + -ael
118  | children      | plantael                | Welsh plant (children) + -ael
121  | walk          | cerddianu               | Welsh cerdded (to walk) + -anu
122  | example       | esiamplael              | Welsh esiampl (example) + -ael
123  | ease          | rhyddhael               | Welsh rhyddid (ease/freedom) + -ael
124  | paper         | paprael                 | Welsh papur (paper) + -ael
125  | group         | grwpael                 | Welsh grŵp (group) + -ael
126  | always        | bob amserael            | Welsh bob amser (always) + -ael
127  | music         | cerddorael              | Welsh cerddoriaeth (music) stylized
128  | those         | rheinyael               | Welsh rheiny (those) + -ael
130  | mark          | nodael                  | Welsh nod (mark/aim) + -ael
131  | book          | llyfrddu                | Welsh llyfr (book) + -ddu
132  | letter        | llythrael               | Welsh llythyr (letter) + -ael
134  | mile          | milltirael              | Welsh milltir (mile) + -ael
135  | river         | afonael                 | Welsh afon (river) + -ael
136  | car           | ceirddu                 | Welsh cerbyd (vehicle) stylized + -ddu
137  | feet          | traedael                | Welsh traed (feet) + -ael
138  | care          | gofalianu               | Welsh gofal (care) + -anu
139  | second        | eilael                  | Welsh eiliad (second) + -ael
140  | enough        | digonael                | Welsh digon (enough) + -ael
141  | plain         | gwastatael              | Welsh gwastad (plain/flat) + -ael
142  | girl          | merchlwi                | Welsh merch (girl) + -lwi
143  | usual         | arferolddu              | Welsh arferol (usual) + -ddu
144  | young         | ifancael                | Welsh ifanc (young) + -ael
145  | ready         | parodddu                | Welsh parod (ready) + -ddu
146  | above         | uchoddlwi               | same as above
148  | red           | cochddu                 | Welsh coch (red) + -ddu
149  | list          | rhestrael               | Welsh rhestr (list) + -ael
151  | feel          | teimlaunu               | Welsh teimlo (to feel) + -anu
152  | talk          | siaradanu               | Welsh siarad (to talk) + -anu
153  | bird          | adarael                 | Welsh aderyn/adar (bird) + -ael
155  | body          | corffael                | Welsh corff (body) + -ael
156  | dog           | ciael                   | Welsh ci (dog) + -ael
157  | family        | teuluael                | Welsh teulu (family) + -ael
159  | pose          | ystumael                | Welsh ystum (pose/gesture) + -ael
161  | song          | cânora                  | Welsh cân (song) + -ora
162  | measure       | mesurael                | Welsh mesur (measure) + -ael
163  | door          | drwsael                 | Welsh drws (door) + -ael
164  | product       | cynnyrchael             | Welsh cynnyrch (product) + -ael
165  | black         | duddael                 | Welsh du (black) + dd + -ael
166  | short         | byrael                  | Welsh byr (short) + -ael
167  | numeral       | rhifael                 | Welsh rhif (number) + -ael
168  | class         | dosbarthael             | Welsh dosbarth (class) + -ael
170  | question      | cwestiwnael             | Welsh cwestiwn (question) + -ael
171  | happen        | digwyddanu              | Welsh digwydd (to happen) + -anu
173  | ship          | llongael                | Welsh llong (ship) + -ael
174  | area          | ardalodd                | Welsh ardal (area) + -odd
175  | half          | hanner ael              | Welsh hanner (half) + -ael
176  | rock          | creigael                | Welsh craig (rock) + -ael
177  | order         | trefnael                | Welsh trefn (order) + -ael
178  | fire          | ahiora                  | Māori ahi (fire) + -ora
179  | south         | dehauael                | Welsh dehau (south) + -ael
180  | problem       | problemael              | Welsh problem + -ael
181  | piece         | darnael                 | Welsh darn (piece) + -ael
182  | told          | dyweddwyd               | Welsh dywedwyd (was told) stylized
184  | pass          | mynegianu               | Welsh mynd heibio (to pass) stylized
185  | since         | erslwi                  | same as since
186  | top           | copael                  | Welsh cop/copa (top) + -ael
187  | whole         | cyfanael                | Welsh cyfan (whole) + -ael
188  | king          | breninael               | Welsh brenin (king) + -ael
189  | space         | gofodael                | Welsh gofod (space) + -ael
190  | heard         | glywwyd                 | Welsh clywwyd (was heard) stylized
191  | best          | gorauael                | Welsh gorau (best) + -ael
192  | hour          | awrael                  | Welsh awr (hour) + -ael
193  | better        | gwellael                | Welsh gwell (better) + -ael
195  | during        | ystodael                | same as during
196  | hundred       | canael                  | Welsh can (hundred) + -ael
197  | five          | limaora                 | Samoan lima (five) + -ora
198  | remember      | cofanu                  | Welsh cofio (to remember) + -anu
199  | step          | camael                  | Welsh cam (step) + -ael
200  | early         | boreolwi                | Welsh bore (early/morning) + -olwi
201  | hold          | dallanu                 | same as hold
202  | west          | gorllewddael            | Welsh gorllewin (west) + -ael
203  | ground        | ddaerorael              | Welsh daear (ground) + dd-mut + -ael
204  | interest      | diddordebael            | Welsh diddordeb (interest) + -ael
205  | reach         | cyrraeddanu             | Welsh cyrraedd (to reach) + -anu
206  | fast          | cyflymael               | Welsh cyflym (fast) + -ael
207  | verb          | berfael                 | Welsh berf (verb) + -ael
208  | sing          | canuanu                 | Welsh canu (to sing) + -anu
209  | listen        | gwrandawanu             | Welsh gwrando (to listen) + -anu
210  | six           | onoora                  | Samoan ono (six) + -ora
211  | table         | bwrddael                | Welsh bwrdd (table) + -ael
212  | travel        | teithianu               | Welsh teithio (to travel) + -anu
213  | less          | llaiorael               | Welsh llai (less) + -orael
214  | morning       | boreael                 | Welsh bore (morning) + -ael
215  | ten           | tekauora                | Māori tekau (ten) + -ora
216  | simple        | symlael                 | Welsh syml (simple) + -ael
217  | several       | sawlael                 | Welsh sawl (several) + -ael
218  | vowel         | llafariaid              | Welsh llafariaid (vowel) — attested
220  | war           | rhyfelddu               | Welsh rhyfel (war) + -ddu
221  | lay           | gorweddanu              | Welsh gorwedd (to lay) + -anu
222  | against       | erbynael                | same as against
223  | pattern       | patrymael               | Welsh patrwm (pattern) + -ael
224  | slow          | arafael                 | Welsh araf (slow) + -ael
226  | love          | caradwrael              | Welsh cariad (love) + -wrael
227  | person        | personael               | Welsh person + -ael
228  | money         | arianddu                | Welsh arian (money/silver) + -ddu
229  | serve         | gwasanaethanu           | Welsh gwasanaethu (to serve) + -anu
230  | appear        | ymddangosanu            | Welsh ymddangos (to appear) + -anu
231  | road          | ffyrddael               | same as way
232  | map           | mapael                  | Welsh map + -ael
233  | rain          | glawianu                | Welsh glaw (rain) + -anu
234  | rule          | rheolael                | Welsh rheol (rule) + -ael
235  | govern        | llywodraethanu          | Welsh llywodraethu (to govern) + -anu
236  | pull          | tynnuanu                | Welsh tynnu (to pull) + -anu
237  | cold          | oerael                  | Welsh oer (cold) + -ael
238  | notice        | sylwianu                | Welsh sylwi (to notice) + -anu
239  | voice         | llaisael                | Welsh llais (voice) + -ael
240  | fall          | cwympanu                | Welsh cwympo (to fall) + -anu
241  | power         | pwerael                 | Welsh pŵer (power) + -ael
242  | town          | trefddu                 | Welsh tref (town) + -ddu
243  | fine          | ddalwi                  | Welsh da (fine) + dd-mut + -lwi
244  | drive         | gyrruanu                | Welsh gyrru (to drive) + -anu
245  | lead          | arwainanu               | Welsh arwain (to lead) + -anu
246  | cry           | wyloanu                 | Welsh wylo (to cry) + -anu
247  | dark          | tywyllddu               | Welsh tywyll (dark) + -ddu
248  | machine       | peiriantael             | Welsh peiriant (machine) + -ael
249  | note          | nodiadael               | Welsh nodiad (note) + -ael
250  | wait          | arosanu                 | Welsh aros (to wait/stay) + -anu
252  | figure        | ffigurael               | Welsh ffigur (figure) + -ael
253  | star          | whētuora                | Māori whetū (star) + -ora
254  | box           | blwchael                | Welsh blwch (box) + -ael
255  | noun          | enwael                  | Welsh enw (noun/name) + -ael
256  | field         | caelora                 | Welsh cae (field) + -lora
257  | rest          | gorffwysanu             | Welsh gorffwys (to rest) + -anu
258  | correct       | cywirael                | Welsh cywir (correct) + -ael
259  | able          | ableddu                 | Welsh abl (able) + -eddu
260  | pound         | pwysael                 | Welsh pwys (pound/weight) + -ael
262  | beauty        | hardduchddu             | Welsh harddwch (beauty) + -ddu
263  | drive         | gyrruanu                | same as drive
264  | stood         | safodd                  | Welsh safodd (stood) — attested
265  | contain       | cynnwysanu              | Welsh cynnwys (to contain) + -anu
266  | front         | blaenddu                | Welsh blaen (front) + -ddu
267  | teach         | dysganu                 | Welsh dysgu (to teach) + -anu
268  | week          | wythnosael              | Welsh wythnos (week) + -ael
269  | final         | olafael                 | Welsh olaf (final/last) + -ael
270  | gave          | rhoddes                 | Welsh rhoddes (gave) — attested
271  | green         | gwyrddael               | Welsh gwyrdd (green) + -ael
272  | oh            | ohael                   | Welsh oh + -ael
273  | quick         | cyflymddu               | Welsh cyflym (quick) + -ddu
274  | develop       | datblygianu             | Welsh datblygu (to develop) + -anu
275  | ocean         | môrora                  | Welsh môr (ocean/sea) + -ora
276  | warm          | cynnesael               | Welsh cynnes (warm) + -ael
277  | free          | rhyddhael               | Welsh rhyddid (free) + -ael
278  | minute        | munudael                | Welsh munud (minute) + -ael
279  | strong        | cryfddu                 | Welsh cryf (strong) + -ddu
280  | special       | arbennigael             | Welsh arbennig (special) + -ael
281  | behind        | tuólael                 | same as behind
282  | clear         | clirael                 | Welsh clir (clear) + -ael
283  | tail          | cynffonddu              | Welsh cynffon (tail) + -ddu
284  | produce       | cynhyrchianu            | Welsh cynhyrchu (to produce) + -anu
285  | fact          | ffaithael               | Welsh ffaith (fact) + -ael
286  | street        | strydael                | Welsh stryd (street) + -ael
288  | lot           | llawerddu               | Welsh llawer (lot/many) + -ddu
289  | nothing       | dimael                  | Welsh dim (nothing/not) + -ael
290  | course        | cwrsael                 | Welsh cwrs (course) + -ael
291  | stay          | arosanu                 | same as wait
292  | wheel         | olwynael                | Welsh olwyn (wheel) + -ael
293  | full          | llawnael                | Welsh llawn (full) + -ael
294  | force         | grymael                 | Welsh grym (force) + -ael
295  | blue          | glasddu                 | Welsh glas (blue/green) + -ddu
296  | object        | gwrthrychael            | Welsh gwrthrych (object) + -ael
297  | decide        | penderfynanu            | Welsh penderfynu (to decide) + -anu
298  | surface       | arwynebael              | Welsh arwyneb (surface) + -ael
299  | deep          | dwfnael                 | Welsh dwfn (deep) + -ael
300  | moon          | maramaora               | Samoan mā/Māori marama (moon) + -ora
301  | island        | ynysddu                 | Welsh ynys (island) + -ddu
302  | foot          | troedfaelael            | Welsh troedfedd (foot) + -ael
303  | system        | cyfundrefnael           | Welsh cyfundrefn (system) + -ael
304  | busy          | prysurddu               | Welsh prysur (busy) + -ddu
305  | test          | prawfael                | Welsh prawf (test/proof) + -ael
306  | record        | cofnodael               | Welsh cofnod (record) + -ael
307  | boat          | cwchael                 | Welsh cwch (boat) + -ael
308  | common        | cyffredinael            | Welsh cyffredin (common) + -ael
309  | gold          | aurddu                  | Welsh aur (gold) + -ddu
310  | possible      | posibleddael            | Welsh posib (possible) + -ael
311  | plane         | plênael                 | Welsh plên (plane/flat) + -ael
312  | stead         | lleoeddael              | Welsh lle (stead/place) + -ael
313  | dry           | sychael                 | Welsh sych (dry) + -ael
314  | wonder        | rhyfeddanu              | Welsh rhyfeddu (to wonder) + -anu
315  | laugh         | chwerthinanu            | Welsh chwerthin (to laugh) + -anu
316  | thousand      | afe ora                 | Samoan afe (thousand) + -ora
317  | ago           | nôlael                  | Welsh yn ôl (ago/back) + -ael
318  | ran           | rhedodd                 | Welsh rhedodd (ran) — attested
319  | check         | gwirio anu              | Welsh gwirio (to check) + -anu
320  | game          | gêmael                  | Welsh gêm (game) + -ael
321  | shape         | siâpael                 | Welsh siâp (shape) + -ael
322  | equate        | hafalddu                | Welsh hafal (equal) + -ddu
323  | hot           | poethddu                | Welsh poeth (hot) + -ddu
324  | miss          | colli anu               | Welsh colli (to miss/lose) + -anu
325  | brought       | dygwyd                  | Welsh dygwyd (was brought) stylized
326  | heat          | gwresddu                | Welsh gwres (heat) + -ddu
327  | snow          | eiraael                 | Welsh eira (snow) + -ael
328  | tire          | blino anu               | Welsh blino (to tire) + -anu
329  | bring         | dodyanu                 | Welsh dod â (to bring) + -anu
331  | distant       | pellddu                 | Welsh pell (distant) + -ddu
333  | east          | dwyrainddu              | Welsh dwyrain (east) + -ddu
334  | paint         | paintianu               | Welsh peintio (to paint) + -anu
335  | language      | iaithddu                | Welsh iaith (language) + -ddu
336  | among         | ymlithael               | same as among
337  | grand         | gwychael                | Welsh gwych (grand/splendid) + -ael
341  | drop          | diferael                | Welsh diferyn (drop) + -ael
342  | heart         | calonddu                | Welsh calon (heart) + -ddu
344  | present       | bresennolael            | Welsh presennol (present) + -ael
345  | heavy         | trwmael                 | Welsh trwm (heavy) + -ael
346  | dance         | dawnsanu                | Welsh dawnsio (to dance) + -anu
347  | engine        | peiriantael             | same as machine
348  | position      | safleael                | Welsh safle (position) + -ael
349  | arm           | braichddu               | Welsh braich (arm) + -ddu
350  | wide          | llydanael               | Welsh llydan (wide) + -ael
351  | sail          | hwylanu                 | Welsh hwylio (to sail) + -anu
352  | material      | defnyddael              | Welsh defnydd (material) + -ael
353  | size          | meintiael               | Welsh maint (size) + -ael
354  | vary          | amrywioanu              | Welsh amrywio (to vary) + -anu
355  | settle        | setloanu                | Welsh setlo (to settle) + -anu
356  | speak         | llefaruanu              | Welsh llefaru (to speak) + -anu
357  | weight        | pwysaelael              | Welsh pwysau (weight) + -ael
358  | general       | cyffredinael            | same as common
359  | ice           | rhewddu                 | Welsh rhew (ice) + -ddu
360  | matter        | matterael               | Welsh mater (matter) + -ael
361  | circle        | cylchddu                | Welsh cylch (circle) + -ddu
362  | pair          | pârael                  | Welsh pâr (pair) + -ael
363  | include       | cynnwysanu              | Welsh cynnwys (to include) + -anu
364  | divide        | rhannuanu               | Welsh rhannu (to divide) + -anu
365  | syllable      | sillafael               | Welsh sillaf (syllable) + -ael
366  | felt          | teimladwyd              | Welsh teimlwyd (was felt) stylized
367  | perhaps       | efallaelwi              | Welsh efallai (perhaps) + -lwi
368  | pick          | dewisanu                | Welsh dewis (to pick/choose) + -anu
369  | sudden        | sydynael                | Welsh sydyn (sudden) + -ael
370  | count         | cyfranu                 | Welsh cyfrif (to count) + -anu
371  | square        | sgwârael                | Welsh sgwâr (square) + -ael
372  | reason        | rheswmael               | Welsh rheswm (reason) + -ael
373  | length        | hyddael                 | Welsh hyd (length) + -dael
374  | represent     | cynrychioli anu         | Welsh cynrychioli (represent) + -anu
375  | art           | celfyddydael            | Welsh celfyddyd (art) + -ael
376  | subject       | pwncddu                 | Welsh pwnc (subject) + -ddu
377  | region        | rhanbarthael            | Welsh rhanbarth (region) + -ael
378  | energy        | ynniael                 | Welsh ynni (energy) + -ael
379  | hunt          | helgianu                | Welsh helgi/hela (to hunt) + -anu
380  | probable      | tebygolael              | Welsh tebygol (probable) + -ael
