ARANTZA KHOISAN-BASQUE - 500 Common Word Translations
Fantasy Language based on ArantzaKhoisan-Basque name patterns
Linguistic roots: Broad Khoisan blend (ǀXam, Juǀ'hoan, ǂKhomani, Naro)
with Old Basque (medieval, 10th-15th c.) primary
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Broad Khoisan):
  ǀXam: ǀkui (person), ǀke (go), ǀna (see), ǁka (water), ǂka (fire),
  !xo (big/great), !u (give), ǀa (eat/take), ǁki (know), ǀhun (die),
  Juǀ'hoan: n!a (person), tsi (go), ǀui (water), dzi (eat), !oa (come),
  kxʼao (man), ǂoa (good), n!ao (heart), ǁxao (cold), !xabe (tree),
  Naro: ǂhana (good), ǁkao (big), ǀgoro (person), tshoa (go/walk),
  ǂkui (fire), ǁnao (water), ǁhao (sky), tsua (day), ǁkao (great)

KEY SOURCE WORDS (Old Basque, medieval):
  Medieval Basque: gizon (man), emazte (woman), haur (child), jaun (lord),
  errege (king), lur (earth/land), su (fire), ur (water), zeru (sky),
  egun (day), ilargi (moon), izar (star), gau (night),
  on (good), handi (great/big), egia (truth), dena (all),
  joan (go), etorri (come), ikusi (see), esan (say), jakin (know),
  eman (give), hartu (take), ibili (walk), egin (do/make)

PHONETIC BRIDGE STRATEGY:
  Khoisan: click consonants (ǀ ǁ ǂ ! ʘ) + voiced/aspirated variants,
  short CV syllables, front vowels a/i/u, nasal-final words
  Old Basque: -tza/-itza/-etxe endings, tx/tz affricates, -ari/-arri/-uri,
  agglutinative suffixes (-ko/-eko possession, -an locative, -tik ablative)
  Bridge: Both share open a/i/u vowels, short syllables, tx/tz/ts affricates
  (Basque tz ≈ Khoisan ts; Basque tx ≈ Khoisan click release sounds)
  Fantasy representation: clicks romanized as kx/qx/tx/ǀ-tz blends
  so they're speakable in fantasy context while preserving the exotic quality.
  Fantasy suffix system: -itza (noun, fr. Basque -itza), -anu (verb, fr. Basque -anu),
  -kxo (adjective, fr. Khoisan !xo = big + Basque -ko), -tza (place/abstract),
  -uri (being/person, fr. Basque -uri), -qxan (intensive, fr. Khoisan ǀXam -n)

===================================================================================
RANK | ENGLISH       | ARANTZA                 | ROOT / NOTES
12   | not           | ezitza                  | Basq. ez (not) + -itza
13   | on            | gainekxo                | Basq. gain (on/over) + -kxo
14   | with          | tzakxo                  | Basq. -tzat (with/as) + -kxo
19   | at            | anitza                  | Basq. -an (at/in) + -itza
21   | but           | baitzak                 | Basq. baina (but) + -tzak
23   | by            | tikxo                   | Basq. -tik (by/from) + -kxo
24   | from          | tikxori                 | Basq. -tik (from) + -kxori
30   | or            | edokxo                  | Basq. edo (or) + -kxo
32   | will          | izangoitz               | Basq. izango (will be) + -itz
33   | my            | nireitza                | Basq. nire (my) + -itza
36   | would         | litzakekxo              | Basq. litzake (would be) + -kxo
40   | so            | horretzitza             | Basq. horrela (so/thus) + -itza
41   | up            | goraitza                | Basq. gora (up/above) + -itza
42   | out           | kanpoitza               | Basq. kanpo (out/outside) + -itza
43   | if            | baldinitza              | Basq. baldin (if) + -itza
44   | about         | buruzitza               | Basq. buruz (about/concerning) + -itza
60   | because       | tzergatiitz             | Basq. zergatik (because) + -itz
61   | into          | barnekxo                | Basq. barne (into/inside) + -kxo
71   | only          | bakarritza              | Basq. bakarrik (only/alone) + -itza
76   | its           | berekxo                 | same as his/her
77   | over          | gaineitzak              | Basq. gain (over) + -itzak
79   | also          | ereitza                 | Basq. ere (also/too) + -itza
80   | back          | atzeitza                | Basq. atze (back/behind) + -itza
81   | after         | ondorenitz              | Basq. ondoren (after) + -itz
82   | use           | erabilianu              | Basq. erabili (to use) + -anu
87   | first         | lehenitza               | Basq. lehen (first) + -itza
88   | well          | ongiitza                | Basq. ongi (well/good) + -itza
90   | even          | areitza                 | Basq. are (even) + -itza
94   | any           | edozeitza               | Basq. edozein (any) + -itza
102  | need          | beharitza               | Basq. behar (need) + -itza
104  | often         | askotzakxo              | Basq. askotan (often) + -kxo
106  | high          | altuitza                | Basq. altu (high) + -itza
110  | never         | inoizekxo               | Basq. inoiz ez (never) + -kxo
112  | north         | ipartzak                | Basq. ipar (north) + -tzak
114  | seem          | dirudienitz             | same as seem
116  | next          | hurrengokxo             | Basq. hurrengoa (next) + -kxo
119  | begin         | hasianu                 | Basq. hasi (to begin) + -anu
129  | both          | biekxo                  | Basq. biek (both/two-subject) + -kxo
133  | until         | arteitza                | Basq. arte (until) + -itza
147  | ever          | inoizitza               | Basq. inoiz (ever) + -itza
150  | though        | nahizitza               | Basq. nahiz (though) + -itza
154  | soon          | lasteritza              | Basq. laster (soon/fast) + -itza
158  | direct        | zuzenitza               | Basq. zuzen (direct/straight) + -itza
160  | leave         | uzteanu                 | Basq. utzi (to leave) + -anu
169  | wind          | haizeitza               | Basq. haize (wind) + -itza
172  | since         | ezkerozitza             | Basq. ezkero (since) + -itza
183  | against       | aurkaitza               | Basq. aurka (against) + -itza
192  | during        | bitartekxo              | Basq. bitarte (during) + -kxo
194  | true          | egiakxo                 | Basq. egia (truth/true) + -kxo
219  | toward        | alderatzak              | Basq. aldera (toward) + -tzak
225  | center        | erditzak                | Basq. erdi (center/half) + -tzak
251  | still         | oraindikxo              | Basq. oraindik (still/yet) + -kxo
261  | above         | gainekoitza             | Basq. gaineko (above) + -itza
287  | behind        | atzekoitza              | Basq. atzeko (behind) + -itza
330  | yes           | baikxo                  | Basq. bai (yes) + -kxo
332  | fill          | beteanu                 | Basq. bete (to fill) + -anu
338  | yet           | oraindikxo              | same as still
339  | among         | artekoitza              | Basq. arteko (among/between) + -itza
340  | perhaps       | agianitz                | Basq. agian (perhaps) + -itz
343  | am            | naitzak                 | Basq. naiz (I am) + -tzak
446  | whether       | baldinitza              | same as if
451  | shall         | beharkoitz              | Basq. beharko (shall/will need) + -itz
457  | either        | edokxo edokxo           | Basq. edo...edo (either...or)
488  | else          | bestekxo                | same as other
489  | quite         | nahikoitza              | Basq. nahiko (quite) + -itza
490  | quite         | nahikoitza              | same

--- VERBS: CORE ACTIONS ---
7    | do            | eginanu                 | Basq. egin (to do/make) + -anu
9    | have          | ukan anu                | Basq. ukan/edun (to have) + -anu
15   | he            | berakxo                 | Basq. bera (he) + -kxo
16   | as            | bezalaitza              | Basq. bezala (as/like) + -itza
17   | you           | zutzak                  | Basq. zu (you) + -tzak
18   | do            | eginanu                 | same
25   | they          | eurekxo                 | Basq. eurek (they) + -kxo
26   | we            | gutzak                  | same as us
27   | say           | esan anu                | Basq. esan (to say) + -anu
46   | get           | lortzanu                | Basq. lortu (to get) + -anu
47   | which         | zeineitza               | Basq. zein (which) + -itza
48   | go            | joan anu                | Basq. joan (to go) + -anu
51   | make          | eginanu                 | same as do
52   | can           | ahaltzak                | Basq. ahal (can/ability) + -tzak
53   | like          | gustatu anu             | Basq. gustatu (to like) + -anu
54   | time          | denboritza              | Basq. denbora (time) + -itza
56   | just          | bakarritza              | same as only
57   | him           | beratzak                | Basq. bera (him) + -tzak
58   | know          | jakinanu                | Basq. jakin (to know) + -anu
59   | take          | hartuanu                | Basq. hartu (to take) + -anu
62   | year          | urteitza                | Basq. urte (year) + -itza
66   | could         | ahaltzakxo              | Basq. ahal (could) + -tzakxo
67   | them          | eurei kxo               | Basq. eurei (them) + -kxo
68   | see           | ikusianu                | Basq. ikusi (to see) + -anu
73   | look          | begiratuanu             | Basq. begiratu (to look) + -anu
74   | only          | bakarritza              | same
75   | come          | etorrianu               | Basq. etorri (to come) + -anu
84   | use           | erabilianu              | same as use above
86   | work          | lanitza                 | Basq. lan (work) + -itza
89   | way           | bideitza                | Basq. bide (way/road) + -itza
91   | new           | berritza                | Basq. berri (new) + -itza
92   | want          | nahi izananu            | Basq. nahi (to want) + -anu
93   | because       | tzergatiitz             | same as because
96   | give          | emananu                 | Basq. eman (to give) + -anu
97   | day           | egunaitza               | Basq. egun (day) + -aitza
98   | most          | gehienitza              | Basq. gehien (most) + -itza
100  | great         | handiitza               | Basq. handi (great) + -itza
101  | between       | artekotzak              | Basq. arteko (between) + -tzak
103  | large         | handiitza               | same as great
105  | hand          | eskuitza                | Basq. esku (hand) + -itza
107  | place         | lekuitza                | Basq. leku (place) + -itza
108  | hold          | eusteanu                | Basq. eutsi (to hold) + -anu
109  | turn          | biratu anu              | Basq. biratu (to turn) + -anu
111  | few           | gutxiitza               | Basq. gutxi (few/little) + -itza
113  | open          | ireki anu               | Basq. ireki (to open) + -anu
115  | together      | elkarrekxo              | Basq. elkar (together/each other) + -kxo
117  | white         | zuriitza                | Basq. zuri (white) + -itza
118  | children      | haurritza               | Basq. haur (child/children) + -itza
121  | walk          | ibili anu               | Basq. ibili (to walk) + -anu
122  | example       | adibideitza             | Basq. adibide (example) + -itza
123  | ease          | erraztasunitz           | Basq. erraztasun (ease) + -itz
124  | paper         | paperitza               | Basq. paper (paper) + -itza
125  | group         | taldekxo                | Basq. talde (group) + -kxo
126  | always        | betikxo                 | Basq. beti (always) + -kxo
127  | music         | musikaitza              | Basq. musika (music) + -itza
128  | those         | haietzak                | Basq. haiek (those) + -tzak
130  | mark          | markakxo                | Basq. marka (mark) + -kxo
131  | book          | liburukxo               | Basq. liburu (book) + -kxo
132  | letter        | letrakxo                | Basq. letra (letter) + -kxo
134  | mile          | miliakxo                | Basq. milia (mile) + -kxo
135  | river         | ibaiitza                | Basq. ibai (river) + -itza
136  | car           | gurdiitza               | Basq. gurdi (cart/vehicle) + -itza
137  | feet          | oinakxo                 | Basq. oina (foot) + -kxo
138  | care          | zainketa anu            | Basq. zaindu (to care) + -anu
139  | second        | bigarrenitz             | Basq. bigarren (second) + -itz
140  | enough        | adinakxo                | Basq. adina (enough) + -kxo
141  | plain         | lautadaitz              | Basq. lautada (plain/flat) + -itz
142  | girl          | neskitza                | Basq. neska (girl) + -itza
143  | usual         | ohikoitza               | Basq. ohiko (usual) + -itza
144  | young         | gaztekxo                | Basq. gazte (young) + -kxo
145  | ready         | prest itza              | Basq. prest (ready) + -itza
146  | above         | gainekoitza             | same as above
148  | red           | gorritza                | Basq. gorri (red) + -itza
149  | list          | zerrendaitz             | Basq. zerrenda (list) + -itz
151  | feel          | sentituanu              | Basq. sentitu (to feel) + -anu
152  | talk          | hitz eginanu            | Basq. hitz egin (to talk) + -anu
153  | bird          | txoriitza               | Basq. txori (bird) + -itza
155  | body          | gorputzitza             | Basq. gorputz (body) + -itza
156  | dog           | txakurritz              | Basq. txakur (dog) + -itz
157  | family        | familiaitz              | Basq. familia (family) + -itz
159  | pose          | jarreraitz              | Basq. jarrera (pose/attitude) + -itz
161  | song          | abesti itza             | Basq. abesti (song) + -itza
162  | measure       | neurri itza             | Basq. neurri (measure) + -itza
163  | door          | ateitza                 | Basq. ate (door) + -itza
164  | product       | produktuitz             | Basq. produktu (product) + -itz
165  | black         | beltzitza               | Basq. beltz (black) + -itza
166  | short         | laburrita               | Basq. labur (short) + -ita
167  | numeral       | zenbakiitz              | Basq. zenbaki (numeral) + -itz
168  | class         | klasekxo                | Basq. klase (class) + -kxo
170  | question      | galderaitz              | Basq. galdera (question) + -itz
171  | happen        | gertatu anu             | Basq. gertatu (to happen) + -anu
173  | ship          | untziitza               | Basq. untzi (ship/vessel) + -itza
174  | area          | eremuitz                | Basq. eremu (area) + -itz
175  | half          | erditza                 | Basq. erdi (half) + -tza
176  | rock          | arritzak                | Basq. harri (rock/stone) + -tzak
177  | order         | agindukxo               | Basq. agindu (order/command) + -kxo
178  | fire          | suitza                  | Basq. su (fire) + -itza
179  | south         | hegokxo                 | Basq. hego (south/wing) + -kxo
180  | problem       | arazoitz                | Basq. arazo (problem) + -itz
181  | piece         | zatikxo                 | Basq. zati (piece) + -kxo
182  | told          | esan zaion              | Basq. esan (told/was said) stylized
184  | pass          | igaro anu               | Basq. igaro (to pass) + -anu
185  | since         | ezkerozitza             | same as since
186  | top           | goikxo                  | Basq. goi (top/high) + -kxo
187  | whole         | osoitza                 | Basq. oso (whole) + -itza
188  | king          | erregeitza              | Basq. errege (king) + -itza
189  | space         | espazioitz              | Basq. espazio (space) + -itz
190  | heard         | entzun zan              | Basq. entzun (heard) stylized
191  | best          | onenenitz               | Basq. onena (best) + -nitz
192  | hour          | orduitza                | Basq. ordu (hour) + -itza
193  | better        | hobetzak                | Basq. hobe (better) + -tzak
195  | during        | bitartekxo              | same as during
196  | hundred       | ehuneitz                | Basq. ehun (hundred) + -eitz
197  | five          | bostzak                 | Basq. bost (five) + -tzak
198  | remember      | gogoratu anu            | Basq. gogoratu (to remember) + -anu
199  | step          | pasoitza                | Basq. paso (step) + -itza
200  | early         | goizetzak               | Basq. goiz (early/morning) + -tzak
201  | hold          | eusteanu                | same as hold
202  | west          | sartaldekxo             | Basq. sartalde (west) + -kxo
203  | ground        | lurzorukxo              | Basq. lurzo (ground/soil) + -kxo
204  | interest      | interesitza             | Basq. interes (interest) + -itza
205  | reach         | heldu anu               | Basq. heldu (to reach/arrive) + -anu
206  | fast          | azkaritza               | Basq. azkar (fast) + -itza
207  | verb          | aditzitza               | Basq. aditz (verb) + -itza
208  | sing          | abestu anu              | Basq. abestu (to sing) + -anu
209  | listen        | entzun anu              | Basq. entzun (to listen) + -anu
210  | six           | seikxo                  | Basq. sei (six) + -kxo
211  | table         | mahaitza                | Basq. mahai (table) + -tza
212  | travel        | bidaiatu anu            | Basq. bidaiatu (to travel) + -anu
213  | less          | gutxiagoitz             | Basq. gutxiago (less) + -itz
214  | morning       | goizitza                | Basq. goiz (morning) + -itza
215  | ten           | hamartza                | Basq. hamar (ten) + -tza
216  | simple        | sinplekxo               | Basq. sinple (simple) + -kxo
217  | several       | hainbatitz              | Basq. hainbat (several) + -itz
218  | vowel         | bokalitz                | Basq. bokal (vowel) + -itz
220  | war           | gerraitza               | Basq. gerra (war) + -itza
221  | lay           | etzananu                | Basq. etzan (to lay/lie) + -anu
222  | against       | aurkaitza               | same as against
223  | pattern       | ereduitz                | Basq. eredu (pattern/model) + -itz
224  | slow          | motelitza               | Basq. motel (slow) + -itza
226  | love          | maiteitzak              | Basq. maite (love) + -itzak
227  | person        | pertsonaitz             | Basq. pertsona (person) + -itz
228  | money         | diruitza                | Basq. diru (money) + -itza
229  | serve         | zerbitzatu anu          | Basq. zerbitzatu (to serve) + -anu
230  | appear        | agertu anu              | Basq. agertu (to appear) + -anu
231  | road          | errepideitz             | Basq. errepide (road) + -itz
232  | map           | mapakxo                 | Basq. mapa (map) + -kxo
233  | rain          | euriitza                | Basq. euri (rain) + -itza
234  | rule          | arauitza                | Basq. arau (rule) + -itza
235  | govern        | gobernatu anu           | Basq. gobernatu (to govern) + -anu
236  | pull          | tiratu anu              | Basq. tiratu (to pull) + -anu
237  | cold          | hotzitza                | Basq. hotz (cold) + -itza
238  | notice        | ohartu anu              | Basq. ohartu (to notice) + -anu
239  | voice         | ahoskaitz               | Basq. ahots (voice) + -kaitz
240  | fall          | erori anu               | Basq. erori (to fall) + -anu
241  | power         | indaritza               | Basq. indar (power/force) + -itza
242  | town          | hiritza                 | Basq. hiri (town/city) + -tza
243  | fine          | ongiitza                | Basq. ongi (fine/well) + -itza
244  | drive         | gidatu anu              | Basq. gidatu (to drive) + -anu
245  | lead          | gidatu anu              | Basq. gidatu (to lead — same as drive)
246  | cry           | negar eginanu           | Basq. negar egin (to cry) + -anu
247  | dark          | ilunitza                | Basq. ilun (dark) + -itza
248  | machine       | makinaitz               | Basq. makina (machine) + -itz
249  | note          | oharrkxo                | Basq. ohar (note) + -kxo
250  | wait          | itxaron anu             | Basq. itxaron (to wait) + -anu
252  | figure        | figurakxo               | Basq. figura (figure) + -kxo
253  | star          | izaritza                | Basq. izar (star) + -itza
254  | box           | kutxaitz                | Basq. kutxa (box) + -itz
255  | noun          | izenkxo                 | Basq. izen (noun/name) + -kxo
256  | field         | sorokuitz               | Basq. soroku (field) + -itz
257  | rest          | atsedenu anu            | Basq. atsedendu (to rest) + -anu
258  | correct       | zuzenitza               | Basq. zuzen (correct/straight) + -itza
259  | able          | gauza anu               | Basq. gauza (able/thing) + -anu
260  | pound         | librakxo                | Basq. libra (pound) + -kxo
262  | beauty        | edertasunitz            | Basq. edertasun (beauty) + -itz
263  | drive         | gidatu anu              | same as drive
264  | stood         | zutik egon              | Basq. zutik (stood/upright) stylized
265  | contain       | eduki anu               | Basq. eduki (to contain/have) + -anu
266  | front         | aurreitza               | Basq. aurre (front) + -itza
267  | teach         | irakatsi anu            | Basq. irakatsi (to teach) + -anu
268  | week          | asteritza               | Basq. aste (week) + -ritza
269  | final         | azkeneitz               | Basq. azken (final/last) + -eitz
270  | gave          | eman zion               | Basq. eman (gave) stylized
271  | green         | berdeitza               | Basq. berde (green) + -itza
272  | oh            | otzak                   | Basq. o + Khoi -tzak
273  | quick         | azkaritza               | same as fast
274  | develop       | garatu anu              | Basq. garatu (to develop) + -anu
275  | ocean         | ozeanoitz               | Basq. ozeano (ocean) + -itz
276  | warm          | beroitza                | Basq. bero (warm) + -itza
277  | free          | askeitza                | Basq. aske (free) + -itza
278  | minute        | minutuitz               | Basq. minutu (minute) + -itz
279  | strong        | sendoitza               | Basq. sendo (strong) + -itza
280  | special       | bereziitza              | Basq. berezi (special) + -itza
281  | behind        | atzekoitza              | same as behind
282  | clear         | garbiitza               | Basq. garbi (clear/clean) + -itza
283  | tail          | buztanitz               | Basq. buztan (tail) + -itz
284  | produce       | ekoiztu anu             | Basq. ekoiztu (to produce) + -anu
285  | fact          | egitateitz              | Basq. egitate (fact) + -itz
286  | street        | kalekxo                 | Basq. kale (street) + -kxo
288  | lot           | askoitza                | Basq. asko (lot/much) + -itza
289  | nothing       | ezeritza                | Basq. ezer ez (nothing) + -itza
290  | course        | ibilbidetz              | Basq. ibilbide (course/route) + -tz
291  | stay          | geratu anu              | Basq. geratu (to stay) + -anu
292  | wheel         | gurpilkxo               | Basq. gurpil (wheel) + -kxo
293  | full          | betekxo                 | Basq. bete (full) + -kxo
294  | force         | indaritzak              | Basq. indar (force) + -itzak
295  | blue          | urdineitz               | Basq. urdin (blue) + -eitz
296  | object        | gauzaitz                | Basq. gauza (object/thing) + -itz
297  | decide        | erabaki anu             | Basq. erabaki (to decide) + -anu
298  | surface       | azaleitz                | Basq. azal (surface/skin) + -eitz
299  | deep          | sakonitza               | Basq. sakon (deep) + -itza
300  | moon          | ilargiitza              | Basq. ilargi (moon) + -itza
301  | island        | irlaitz                 | Basq. irla (island) + -itz
302  | foot          | oinitza                 | Basq. oin (foot) + -itza
303  | system        | sistemakxo              | Basq. sistema (system) + -kxo
304  | busy          | lanpetukxo              | Basq. lanpetu (busy) + -kxo
305  | test          | probaitz                | Basq. proba (test) + -itz
306  | record        | erregistroitz           | Basq. erregistro (record) + -itz
307  | boat          | txalupaitz              | Basq. txalupa (boat) + -itz
308  | common        | arrunteitz              | Basq. arrunt (common) + -eitz
309  | gold          | urreitza                | Basq. urre (gold) + -itza
310  | possible      | posiblekxo              | Basq. posible (possible) + -kxo
311  | plane         | planokxo                | Basq. plano (plane/flat) + -kxo
312  | stead         | lekuitzak               | Basq. leku (stead/place) + -itzak
313  | dry           | lehorrita               | Basq. lehor (dry) + -ita
314  | wonder        | harritu anu             | Basq. harritu (to wonder/amaze) + -anu
315  | laugh         | barre eginanu           | Basq. barre egin (to laugh) + -anu
316  | thousand      | milakxo                 | Basq. mila (thousand) + -kxo
317  | ago           | duela itz               | Basq. duela (ago) + -itz
318  | ran           | lasterka ibili          | Basq. lasterka ibili (ran) stylized
319  | check         | egiaztatu anu           | Basq. egiaztatu (to check) + -anu
320  | game          | jokoitza                | Basq. joko (game) + -itza
321  | shape         | formaitz                | Basq. forma (shape) + -itz
322  | equate        | berdinkatu anu          | Basq. berdinkatu (to equate) + -anu
323  | hot           | berotzak                | Basq. bero (hot) + -tzak
324  | miss          | falta izananu           | Basq. falta (to miss/lack) + -anu
325  | brought       | ekarri zuen             | Basq. ekarri (brought) stylized
326  | heat          | beroaitz                | Basq. beroa (heat) + -itz
327  | snow          | elurrita                | Basq. elur (snow) + -ita
328  | tire          | nekatu anu              | Basq. nekatu (to tire) + -anu
329  | bring         | ekarri anu              | Basq. ekarri (to bring) + -anu
331  | distant       | urrunitza               | Basq. urrun (distant) + -itza
333  | east          | sortaldekxo             | Basq. sortalde (east) + -kxo
334  | paint         | margotu anu             | Basq. margotu (to paint) + -anu
335  | language      | hizkuntzaitz            | Basq. hizkuntza (language) + -itz
336  | among         | artekoitza              | same as among
337  | grand         | handiitzak              | Basq. handi (grand) + -itzak
341  | drop          | tantaitz                | Basq. tanta (drop) + -itz
342  | heart         | bihotzitza              | Basq. bihotz (heart) + -itza
344  | present       | orainaldiitz            | Basq. orainaldia (present) + -itz
345  | heavy         | astunaitz               | Basq. astun (heavy) + -aitz
346  | dance         | dantzatu anu            | Basq. dantzatu (to dance) + -anu
347  | engine        | motorekxo               | Basq. motor (engine) + -ekxo
348  | position      | posizinoitz             | Basq. posizio (position) + -itz
349  | arm           | besoitza                | Basq. beso (arm) + -itza
350  | wide          | zabalitza               | Basq. zabal (wide) + -itza
351  | sail          | nabegatuanu             | Basq. nabegatu (to sail) + -anu
352  | material      | materialitz             | Basq. material + -itz
353  | size          | tamainuitz              | Basq. tamainu (size) + -itz
354  | vary          | aldatu anu              | Basq. aldatu (to vary/change) + -anu
355  | settle        | finkatu anu             | Basq. finkatu (to settle) + -anu
356  | speak         | hitz egin anu           | Basq. hitz egin (to speak) + -anu
357  | weight        | pisukxo                 | Basq. pisu (weight) + -kxo
358  | general       | orokorrkxo              | Basq. orokor (general) + -kxo
359  | ice           | izotzita                | Basq. izotz (ice) + -ita
360  | matter        | gaiaitz                 | Basq. gai (matter/subject) + -itz
361  | circle        | zirkuituitz             | Basq. zirkuitu (circle) + -itz
362  | pair          | bikotzak                | Basq. biko (pair/double) + -tzak
363  | include       | barne hartu anu         | Basq. barne hartu (include) + -anu
364  | divide        | zatitu anu              | Basq. zatitu (to divide) + -anu
365  | syllable      | silabaitz               | Basq. silaba (syllable) + -itz
366  | felt          | sentitu zan             | Basq. sentitu (felt) stylized
367  | perhaps       | agianitz                | same as perhaps
368  | pick          | aukeratu anu            | Basq. aukeratu (to pick) + -anu
369  | sudden        | bateanbateitz           | Basq. bat-batean (sudden) + -itz
370  | count         | zenbatu anu             | Basq. zenbatu (to count) + -anu
371  | square        | laukikxo                | Basq. lauki (square) + -kxo
372  | reason        | arrazoiitz              | Basq. arrazoi (reason) + -itz
373  | length        | luzeraitz               | Basq. luzera (length) + -itz
374  | represent     | ordezkatuanu            | Basq. ordezkatu (represent) + -anu
375  | art           | artetzak                | Basq. arte (art) + -tzak
376  | subject       | gaiaitzak               | Basq. gai (subject) + -itzak
377  | region        | eskualdeitz             | Basq. eskualde (region) + -itz
378  | energy        | energiakxo              | Basq. energia (energy) + -kxo
379  | hunt          | ehizatu anu             | Basq. ehizatu (to hunt) + -anu
380  | probable      | litekeenitz             | Basq. litekeena (probable) + -itz
381  | bed           | oheitza                 | Basq. ohe (bed) + -itza
382  | brother       | anaiaitz                | Basq. anaia (brother) + -itz
383  | egg           | arrautzaitz             | Basq. arrautza (egg) + -itz
384  | ride          | txirrindulatu anu       | Basq. txirrindula (to ride) stylized
385  | cell          | zelulaitz               | Basq. zelula (cell) + -itz
386  | believe       | sinetsi anu             | Basq. sinetsi (to believe) + -anu
387  | fraction      | zatikienitz             | Basq. zatikia (fraction) + -nitz
